Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aplikasi Baru,,,,2022-05-11 13:29:49,2022-05-11 13:37:04,7m - 15.545s,PASSED
,,,,,,,
Test Cases/Marketer/Simulasi Kredit Baru/1. Login - Marketer,,,,2022-05-11 13:29:49,2022-05-11 13:30:48,58.669s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-05-11 13:29:50,2022-05-11 13:29:50,0.004s,PASSED
"startExistingApplication(""bcaf.crm.kkb.saleskit"")",,,,2022-05-11 13:29:50,2022-05-11 13:30:11,20.744s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - Username""), ""202020"", 0)",,,,2022-05-11 13:30:11,2022-05-11 13:30:13,2.313s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText - Password""), ""Mobile123+"", 0)",,,,2022-05-11 13:30:13,2022-05-11 13:30:15,1.729s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.ImageButton""), 0)",,,,2022-05-11 13:30:15,2022-05-11 13:30:16,1.542s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-05-11 13:30:16,2022-05-11 13:30:18,2.088s,PASSED
"takeScreenshot(baseDir + sspathinisiasidata + ""Login-1"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-11 13:30:18,2022-05-11 13:30:20,1.436s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.ImageView""), 0)",,,,2022-05-11 13:30:20,2022-05-11 13:30:21,0.855s,PASSED
"delay(8, STOP_ON_FAILURE)",,,,2022-05-11 13:30:21,2022-05-11 13:30:29,8.018s,PASSED
"takeScreenshot(baseDir + sspathinisiasidata + ""Login-2"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-11 13:30:29,2022-05-11 13:30:30,0.943s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.FrameLayout""), 0)",,,,2022-05-11 13:30:30,2022-05-11 13:30:32,2.700s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-05-11 13:30:32,2022-05-11 13:30:37,5.015s,PASSED
"takeScreenshot(baseDir + sspathinisiasidata + ""Login-3"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-11 13:30:37,2022-05-11 13:30:38,0.912s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.FrameLayout (1)""), 0)",,,,2022-05-11 13:30:38,2022-05-11 13:30:41,2.564s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-05-11 13:30:41,2022-05-11 13:30:46,5.029s,PASSED
"takeScreenshot(baseDir + sspathinisiasidata + ""Login-4"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-11 13:30:46,2022-05-11 13:30:47,0.899s,PASSED
closeApplication(),,,,2022-05-11 13:30:47,2022-05-11 13:30:48,1.045s,PASSED
,,,,,,,
Test Cases/Marketer/Simulasi Kredit Baru/2. Simulasi Kredit,,,,2022-05-11 13:30:48,2022-05-11 13:32:06,1m - 18.461s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-05-11 13:30:48,2022-05-11 13:30:48,0.001s,PASSED
"startExistingApplication(""bcaf.crm.kkb.saleskit"")",,,,2022-05-11 13:30:48,2022-05-11 13:31:05,16.379s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-05-11 13:31:05,2022-05-11 13:31:07,2.015s,PASSED
"takeScreenshot(baseDir + sspathinisiasidata + ""Simulasi Kredit 1"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-11 13:31:07,2022-05-11 13:31:08,0.877s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.view.ViewGroup""), 0)",,,,2022-05-11 13:31:08,2022-05-11 13:31:09,0.990s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner""), 0)",,,,2022-05-11 13:31:09,2022-05-11 13:31:10,1.477s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Reguler""), 0)",,,,2022-05-11 13:31:10,2022-05-11 13:31:12,2.010s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (1)""), 0)",,,,2022-05-11 13:31:12,2022-05-11 13:31:13,0.580s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Mobil Baru""), 0)",,,,2022-05-11 13:31:13,2022-05-11 13:31:15,2.020s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (2)""), 0)",,,,2022-05-11 13:31:15,2022-05-11 13:31:16,1.354s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Perorangan""), 0)",,,,2022-05-11 13:31:16,2022-05-11 13:31:20,3.644s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.RadioButton - Ya""), 0)",,,,2022-05-11 13:31:20,2022-05-11 13:31:21,0.833s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (3)""), 0)",,,,2022-05-11 13:31:21,2022-05-11 13:31:23,2.524s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Solitaire""), 0)",,,,2022-05-11 13:31:23,2022-05-11 13:31:27,3.716s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (4)""), 0)",,,,2022-05-11 13:31:27,2022-05-11 13:31:28,0.868s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Produktif""), 0)",,,,2022-05-11 13:31:28,2022-05-11 13:31:31,3.045s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-05-11 13:31:31,2022-05-11 13:31:33,2.020s,PASSED
"takeScreenshot(baseDir + sspathinisiasidata + ""Simulasi Kredit 2"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-11 13:31:33,2022-05-11 13:31:34,0.979s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Button - Lanjut""), 0)",,,,2022-05-11 13:31:34,2022-05-11 13:31:35,0.857s,PASSED
"setText(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.EditText (1)""), ""500000000"", 0)",,,,2022-05-11 13:31:35,2022-05-11 13:31:38,3.057s,PASSED
"setText(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.EditText (2)""), ""30"", 0)",,,,2022-05-11 13:31:38,2022-05-11 13:31:39,1.656s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (5)""), 0)",,,,2022-05-11 13:31:39,2022-05-11 13:31:42,2.172s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Passenger""), 0)",,,,2022-05-11 13:31:42,2022-05-11 13:31:43,1.336s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (6)""), 0)",,,,2022-05-11 13:31:43,2022-05-11 13:31:44,0.853s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Lain-lainnya""), 0)",,,,2022-05-11 13:31:44,2022-05-11 13:31:46,1.997s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (7)""), 0)",,,,2022-05-11 13:31:46,2022-05-11 13:31:46,0.712s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Comprehensive""), 0)",,,,2022-05-11 13:31:46,2022-05-11 13:31:49,2.063s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-05-11 13:31:49,2022-05-11 13:31:51,2.021s,PASSED
"takeScreenshot(baseDir + sspathinisiasidata + ""Simulasi Kredit 3"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-11 13:31:51,2022-05-11 13:31:52,0.944s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Button - Kalkulasi""), 0)",,,,2022-05-11 13:31:52,2022-05-11 13:31:52,0.754s,PASSED
"delay(4, STOP_ON_FAILURE)",,,,2022-05-11 13:31:52,2022-05-11 13:31:56,4.007s,PASSED
"takeScreenshot(baseDir + sspathinisiasidata + ""Simulasi Kredit 4"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-11 13:31:56,2022-05-11 13:31:57,0.894s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.ImageButton""), 0)",,,,2022-05-11 13:31:57,2022-05-11 13:31:58,0.786s,PASSED
"delay(4, STOP_ON_FAILURE)",,,,2022-05-11 13:31:58,2022-05-11 13:32:02,4.029s,PASSED
"takeScreenshot(baseDir + sspathinisiasidata + ""Simulasi Kredit 5"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-11 13:32:02,2022-05-11 13:32:03,0.917s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Button - Apply Now""), 0)",,,,2022-05-11 13:32:03,2022-05-11 13:32:04,0.699s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2022-05-11 13:32:04,2022-05-11 13:32:05,1.016s,PASSED
