Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aplikasi Baru,,,,2022-05-19 10:24:06,2022-05-19 10:33:55,9m - 49.568s,PASSED
,,,,,,,
Test Cases/Marketer/Simulasi Kredit Baru/2. Simulasi Kredit,,,,2022-05-19 10:24:06,2022-05-19 10:25:32,1m - 25.660s,PASSED
"baseDir = System.getProperty(""user.dir"")",,Get directory project,,2022-05-19 10:24:07,2022-05-19 10:24:07,0.004s,PASSED
"startExistingApplication(""bcaf.crm.kkb.saleskit"")",,,,2022-05-19 10:24:07,2022-05-19 10:24:26,18.785s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-05-19 10:24:26,2022-05-19 10:24:28,2.161s,PASSED
"takeScreenshotAsCheckpoint(baseDir + sspathkkbsk + ""Simulasi Kredit 1"" + "".png"", STOP_ON_FAILURE)",,,,2022-05-19 10:24:28,2022-05-19 10:24:31,2.797s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.view.ViewGroup""), 0)",,,,2022-05-19 10:24:31,2022-05-19 10:24:34,2.822s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner""), 0)",,,,2022-05-19 10:24:34,2022-05-19 10:24:35,1.411s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Reguler""), 0)",,,,2022-05-19 10:24:35,2022-05-19 10:24:37,2.187s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (1)""), 0)",,,,2022-05-19 10:24:37,2022-05-19 10:24:38,1.011s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Mobil Baru""), 0)",,,,2022-05-19 10:24:38,2022-05-19 10:24:40,2.093s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (2)""), 0)",,,,2022-05-19 10:24:40,2022-05-19 10:24:41,0.919s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Perorangan""), 0)",,,,2022-05-19 10:24:41,2022-05-19 10:24:43,2.000s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.RadioButton - Ya""), 0)",,,,2022-05-19 10:24:43,2022-05-19 10:24:44,0.854s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.Spinner (3)""), 0)",,,,2022-05-19 10:24:44,2022-05-19 10:24:46,1.325s,PASSED
"tap(findTestObject(""Object Repository/Simulasi Kredit 1/android.widget.CheckedTextView - Solitaire""), 0)",,,,2022-05-19 10:24:46,2022-05-19 10:24:48,2.043s,PASSED
